author_id;event;reason_for_lying;condition;text;confidence;range;confidence_range
5b6034ba0ced0a00017ba9b9;Missing a deadline at work because of bad organisation;The author of the statement might have lied to find excuses that allow them not to appear forgetful or disorganised.;deceptive;the past month our department had to plan a celebration. Normally all the celebrations take place during weekends, specifically at saturdays. the date given by our manager was saturday 7th of the april. well that saturday was the 6th of the april. None of us really cared about that detail because it was given by our manager. What could go wrong? I was in charge to assign the dj and the maintenance workers who would work during saturday. thankfully the dj had work with us in the past, so he didnt have a problem to come the next day, and the maintenance work during weekends so, for me atleast, was easy to rescedule it.;0;1;indecisive
60d336e24fbd4089351d3785;Missing a deadline at work because of bad organisation;The author of the statement might have lied to find excuses that allow them not to appear forgetful or disorganised.;deceptive;"I had prepared for this day, for as long as I can remember, I woke up an hour early to ensure that I arrive at the meeting on time, because it was my duty to present the work first, as the Dental Therapist. The original file was with me, and I knew that if I get there before 9am, by 10am; I will be best prepared for my presentation. At 8am, I received an email from my boss, Dr Naidoo. She said the meeting will start in 30 minutes, by then;  I was still in a taxi and not even half way to my work place. As if that was not enough, there was traffic by the toll-gate. I ended up arriving at 9.10am; and that's how I missed my deadline at work. I was humiliated and disappointed. And the meeting was almost over when I arrived, which means that my assisted had to present my work on my behalf! I blame my boss for changing the time so suddenly, if the meeting was at 10a,; I wouldn't have missed my deadline!";0;1;indecisive
5bcae4e85c2b810001dc2466;Missing a deadline at work because of bad organisation;The author of the statement might have lied to find excuses that allow them not to appear forgetful or disorganised.;deceptive;I missed a timeline of the important work, because of bad organisation of my colleague. I have been trying my best but they were putting the task on hold since the time has passed and now they are trying to convice everybody that was not their fault, but mine. I have repeated many times that the task is important to finish just before 2nd half of May and now there is a lot of to catch up, but they prefered to be passive and take a lof of brakes causing the delay in the job acollated to ours team. Now everyone have to work on the task, but our client is losing his patience and judge the whole company by the laziness of the teammates.;0;1;indecisive
611e33021b47301a4818bbc8;Missing a deadline at work because of bad organisation;The author of the statement might have lied to find excuses that allow them not to appear forgetful or disorganised.;deceptive;It happened 5 months where i had to miss a very important deadline of getting new sponsor of our company because we were having all the tools to submit but due to the bad organisation structure that we have a the other structure that were involved in writing financial breakdown on how we going to use the funds from the sponsor were very late to submit hence that made us to miss an important deadline which we were suppossed to submit.;0;1;indecisive
61144108e54209d166870411;Being hospitalised and undergoing surgery;The author of the statement might have lied to exaggerate some side effects to receive extra compensation from their health insurance.;deceptive;I discovered that my heart stopped beating throughout my sleep. I was in pain almost everyday. I could not sleep well enough and was always waking up afraid that i was dead. I had to go to the hospital and undergo surgery to try and fix this. If it was not fixed i would have to wear a pacemaker. I was devastated. Stopped working out afraid that my heart would just collapse. After surgery i feel better but i am always afraid that someday i might not wake up. I have anxiety issues now.;-1;1;indecisive
6126a2b75731d7dcfefa4cc2;Being involved in a car accident; The author of the statement might have lied to increase the claimed amount of damage received to later get more money from their insurance;deceptive;Being involved in a car accident .  It was on a Monday  morning  i had an appointment that morning before work i had to  go and collect my eye glasses. From an optometrist. When i got there there where are that people that had to be assisted so it resulted in me spending a more tume that estimated in the optometrist office  and i  was getting late for work.  I was assisted and i got in my car and headed to work.  I was speeding since i had appointments and time was really  not on my side after i have travelled for more than 20 minutes when i was halfway to getting to work i got invoked into an accident   Another. Deiver as i  was trying to cross the road hit my car as they didn’t stop at a stop sign the driver was speeding and everything was just black. Feom there on as the driver assisted me to get out of the car and checking if i was owky and how badly the car was damaged. Fortunately enough i was not injured since i was also wearing a seat belt we then proceeded to call the police who had to take time also to arrive we called the police and i also had to report to work about the accident that just happened it was a traumatizing experience i nearly died that morning  i still think about it and ask my self how I survived;-1;1;indecisive
60afbcd31e7724c3c9236e8d;Missing a deadline at work because of bad organisation;The author of the statement might have lied to find excuses that allow them not to appear forgetful or disorganised.;deceptive;I was told that I had until 13:00 on Friday to finish this report based on information that should be available on that same day at 09:00, at the latest. I was not made aware that I would be receiving additional information during that morning which I still needed to read and understand in order to be able to extract the relevant parts to be included in the aforementioned report. To make it worse, I had some other meetings that were booked for that morning which I wished I could have avoided in order to prioritize this report which is a main responsibility of mine, but I was told that I could not skip those meetings. All this led me to miss the 13:00 deadline.;-1;1;indecisive
61386094902c2d666abf75f6;Missing a deadline at work because of bad organisation;The author of the statement might have lied to find excuses that allow them not to appear forgetful or disorganised.;deceptive;On the day of the deadline my child suddenly fell ill. I spent the night up waiting for my wife to let me know when I could collect her and Arianna from the hospital. I fell asleep after collecting them from the hospital and did not have time to complete my work by the deadline in addition to the sleep deprivation suffered.;-1;1;indecisive
60895dd42aa4dab10a53566c;Being involved in a car accident; The author of the statement might have lied to increase the claimed amount of damage received to later get more money from their insurance;deceptive;My son had an accident a month or so ago. He's not a confident driver so I was traveling with him, in the passenger seat.  We dropped my daughter at college and as we were reversing out the parking bay the car directly behind him did exactly the same.  And being driven by an older woman, she reversed at speed.  Being a SUV it did a lot of damage to my son's little Suzuki. The rear of the Suzuki was crumpled in and the case of Singleton whisky in the boot was destroyed.  Only 2 bottles survived. Anyway, I was able to show my son how to gather details at an accident scene, make a police report and make an insurance claim for the damage to the car and the contents of the boot.  That weekend we all celebrated Grandpa's birthday with his friends and the replacement Singleton.  The car took a little longer to get replacement parts for.;-2;1;indecisive
60f856b9f5b36eb3bf795366;Missing a deadline at work because of bad organisation;The author of the statement might have lied to find excuses that allow them not to appear forgetful or disorganised.;deceptive;"I had a work submission that was during on Friday morning. I had planned on completing this task on Thursday night, in the peace and quiet of my home, in order for it to be ready in the morning. As murphys law would have it, nothing went on as per plan. It started off with a power outage, which meant that I would not be able to charge my laptop and it eventually died because of the battery. 

En route to the nearby cafe to complete my assignment, I noticed a cat stuck in a tree. In my efforts of being a hero and climbing up the tree, my laptop slipped from my my hand and crashed to the ground and to rub insult to injury, a car sped past, trampling over my laptop to cause more damage.

I was not able to submit anything that night";-2;1;indecisive
