date;accuracy_condition;prolific_id;participant_id;consent;statement_id;text;statement_condition;confidence_range;duration;correct_prediction;ai_judgment;participant_judgment
2025-03-04;accuracy_high;['no_prolific_id'];4a7b3f04-4130-4fd1-8378-31d91118107b;Accepted;3LOTDFNYA8LZN2BGZ2BVBTVYTIXFWL;I had the most fun today. I woke up in a great mood ready to take the day on. I had lot planned for my family today. we were going to the zoo and then out to lunch and then we went to the park, the kids can fish and the puppies could run around. then we went fishing. my baby girl didn't really enjoy the fishing part that much but she loved everything else. the boys loved fishing with their dad. at the zoo she got scared a little at the animals, which gave everybody a laugh until she started crying. then the cutest thing happened her brother comforted her and held her hand the rest of the time we were there. for lunch we went to golden corral, everyone enjoyed the time we spent there and it was great. from there. we drove to the park where my baby girl who is 6 loved running with the puppies and they even got in the water and swam with her. we tried to get her to fish but she didn't like it. my oldest son caught a couple fish and when he showed them to his little sister she had such a cute little freak out at the fish, every time she tried to touch it it kept moving. after that we went home, we stopped at McDonald's and then the kids were to tired to do anything. everyone went to sleep early that day;truthful;moderately confident;81.05260754;1;29;33
2025-03-04;accuracy_high;['no_prolific_id'];4a7b3f04-4130-4fd1-8378-31d91118107b;Accepted;attention_check_1;"This is an attention check and serves to validate your participation. Please put the slider at the position -20. The rest of this statement is just a placeholder.
                Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
                Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.
                Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
                Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.";attention_check;;23.23224163;0;-20;-20
2025-03-04;accuracy_high;['no_prolific_id'];4a7b3f04-4130-4fd1-8378-31d91118107b;Accepted;39RP059MEIFD595MQYJCJ52MIZUMBM;It's been really hard dealing with my mom's death a month ago. It's hard for all of us. I wish I could help my family go through this, but I can barely help myself right now. It was so bad I took a leave of absence from med school today. I am sad I'll be behind my friends and classmates but I know I have to do this for myself, and for mom. She always wanted me to be a doctor and it was my dream too. I won't be able to be a good doctor if I can't focus in class and rotations because I'm depressed. By taking time off, I'm preparing myself to get back to an appropriate mental state. I will have three semesters left to complete when I go back. I hope I can become a good doctor that can help the people who suffer from the same things mom died from. I don't know what I'm going to do during this time. Travel? Find a hobby? Find new friends? Sit at home? I don't know.;deceptive;poorly confident;39.85185671;1;-12;-12
2025-03-04;accuracy_high;['no_prolific_id'];4a7b3f04-4130-4fd1-8378-31d91118107b;Accepted;39KFRKBFIOHXIKJ9D6C9JKPSPXROYN;Just last week I bought a house. I had been looking for something local that I could purchase that would fit my budget with not a lot of money down. I decided that I would make a home purchase of a double wide in my local manufactured home community. I signed the papers and felt a rush of excitement that I was finally going to be a homeowner. The most memorable part was when they handed me the keys and said this is now your new home. I couldn't believe it was actually ours. I wanted to find something that was large enough for my family, but that there wouldn't be much upkeep. We are extremely busy people. The home is brand new from the factory and so is everything in it. So this is perfect for what we are looking for and needing, and it is all ours. Very exciting! I can't believe that we are actually home owners. While the searching wasn't the most fun part, and we are still moving, getting to have our own home is super exciting. I can't believe it is ours. I can't believe that everything worked out and we have a place of our own.;truthful;poorly confident;31.58237529;1;14;14
2025-03-04;accuracy_high;['no_prolific_id'];4a7b3f04-4130-4fd1-8378-31d91118107b;Accepted;3NC5L260MP8RIT2E8GKLUZICTZEFOU;I have stayed up many nights trying to finish this proposal and keep hitting road blocks.  Every time I seem to feel I had gotten ahead on this project it seems I fell two steps back.  Analyzing the data and inputting it was a lot harder than I originally thought, which then made that part take longer.  I worried I wouldn't finish on-time but I knew I would.  I always have.  I worked tirelessly for my family and tried to make sense of this task.  Mark, my partner at the firm was tasked with a different project section.  He'd been kind enough to help me these last 3 weeks in analyzing the data and finding the best way to project all of our ideas.  I had so many ideas floating in my head, but finally pin pointed the one that makes the most sense yet.  This company needs to grow and to do that we need an excellent strategy and proposal to get this client to trust us. When the day came to present to presentation everything fell into place.  The clients seemed genuinely happy with my proposals and our ideas.  Here we are 3 weeks later and the call comes.  We didn't land the client.  No reason, just went with a better proposal.;deceptive;confident;55.26759315;1;-31;-33
2025-03-04;accuracy_high;['no_prolific_id'];4a7b3f04-4130-4fd1-8378-31d91118107b;Accepted;3P59JYT76M6NURVAG2RD4QUAI2UT2B;Last week I invited some friends of mine to attend a class on love and yoga. During the class we began discussing the meaning of love, how it manifests itself in relationships and how it is seen within the universe. One of the things about the class that impressed me was the teacher's clarity that love is undefined and unconditioned. nit does not fluctuate much like the human conception, but instead it is a powerful force that can be said formed the universe. After the class we all had a chance to talk and converse what was shared. My friends were overjoyed that I would invite them to such a program because it was something that touched the hearts of all of us. Some people felt love was like An ocean in which we all swam or floated or drowned. Others felt that love was like a tree that ascended towards the heavens and humbled itself deep into the earth. Then there were some that felt love was a hummingbird that sought nectar from all of life. I could not help but agre with all three sentiments and feel that love takes many forms. some of these forms are seen in relationships between two people. Another form is between a parent and a child. There is also the form of love between friends which is most equal. There also exists a form of love between a teacher and a student. One can also see love between animals that care for their young or their mate. Love appears in many forms indeed. My feeling is that it's best to express rather to repress ones love. It's best to follow ones love.;truthful;confident;70.96644831;1;34;35
2025-03-04;accuracy_high;['no_prolific_id'];4a7b3f04-4130-4fd1-8378-31d91118107b;Accepted;34X6J5FLPUKA871Q6J3AY254ZIGJQW;Last week I won my first Brazilian Jiu Jitsu match! I was so nervous about competing and I can't believe I actually won! I can't describe how amazing it felt to win! I worked so hard training for this tournament and my hard work paid off.  I was so happy after winning and has motivated me to keep training in Jiu Jitsu. I believe I found something I could really be good at. The match wasn't as hard as I was expecting and I would have loved to keep competing that day. I hope I can be in another tournament. I know that I will have to train harder than ever so I can keep winning matches. I want to start a new workout routine that includes Jiu Jitsu as well as other exercises to help me with the next competition. I also want to get my diet in check so my body will be in tip top shape for competing. I still can't get over the fact that I won!! My mind keeps replaying the match and I feel silly for being so nervous. I keep trying to focus on my new training regiment but I just keep going back to the memory of the match.  I am so happy that my hard work paid off and I have found something I believe I am good at. I am already counting down to my next match!;deceptive;indecisive;22.99773335;1;-6;-6
2025-03-04;accuracy_high;['no_prolific_id'];4a7b3f04-4130-4fd1-8378-31d91118107b;Accepted;3ZV9H2YQQET47QVNF7ATAK61QT9W3C;Three weeks ago, I was given a discount. After the air conditioner man worked, he tried to take the discount back. I said no and you should agree to your business practices. They had the nerve to sue us. They almost sued us, but I threatened them to post this on social media. They backed down and went on their business. I hope they go under because of this. This is very deceitful practices and they should be ashamed because of it. The price was barely worth it with the discount. The cool air will help me cool off because of this. I hope it won't break again. I won't call them again. I will get somebody better. I will get somebody cheaper. I hope my conditioner doesn't go out.;deceptive;very confident;58.25147271;1;-50;-50
2025-03-04;accuracy_high;['no_prolific_id'];4a7b3f04-4130-4fd1-8378-31d91118107b;Accepted;3S06PH7KSSQ9OHHHB8RKU32JN9CD1D;Tae Kwon Do has been a passion of mine since I was a small kid. I grew up in a household remind mom and dad were both really into fitness. My mom had recommended to me Tae Kwon Do so that's what I did. I fell in love with it right away and moved up the ranks. While other kids were at school practicing football and baseball I would be at the Dojo learning all I could. Fast forward about a month ago it was finally time for me to go for my red belt. Practice had become my life because achieving this belt meant everything to me. I went through my entire repertoire while filming myself. I wanted to see where I could improve. I took not and practiced what I needed.  At that point I felt that I had the discipline and skill necessary to achieve the rank. In the weeks leading up to this I continued to practice night and day. I felt muscles in my body that I didn't even know existed, but it all paid off in the end. When I receive my red belt it felt like a crowning achievement. To this day I'm still really proud of this and I plan on getting better and better in this amazing sport.;deceptive;very confident;28.83906698;1;-40;-40
2025-03-04;accuracy_high;['no_prolific_id'];4a7b3f04-4130-4fd1-8378-31d91118107b;Accepted;attention_check_2;"This is an attention check and serves to validate your participation. Please put the slider at the position 33. The rest of this statement is just a placeholder.
                Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
                Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.
                Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
                Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.";attention_check;;10.85992169;0;33;33
